LOAN_ID,LOAN_AMNT,FUNDED_AMNT,TERM,INT_RATE,INSTALLMENT,GRADE,SUB_GRADE,EMP_TITLE,EMP_LENGTH_YEARS,HOME_OWNERSHIP,ANNUAL_INC,VERIFICATION_STATUS,ISSUE_DATE_PARSED,LOAN_STATUS,PYMNT_PLAN,PURPOSE,TITLE,ZIP_CODE,ADDR_STATE,DTI,DELINQ_2YRS,EARLIEST_CR_LINE,INQ_LAST_6MTHS,MTHS_SINCE_LAST_DELINQ,MTHS_SINCE_LAST_RECORD,OPEN_ACC,REVOL_BAL,REVOL_UTIL,TOTAL_ACC,TOTAL_PYMNT,MTHS_SINCE_LAST_MAJOR_DEROG,TOT_CUR_BAL,ISSUE_MONTH,ISSUE_YEAR
130499195,40000.0,40000.0,60 ,11.98%,889.38,B,B5,Equipment Support Training Manager,8,MORTGAGE,120000.0,Source Verified,2018-03-01T00:00:00.000Z,ok,false,home_improvement,Home improvement,554xx,MN,7.89,2.0,01-Aug-2005,0.0,8.0,,5.0,377.0,11.1,9.0,9729.94,9.0,328936.0,3,2018
130870984,25000.0,25000.0,36 ,5.31%,752.76,A,A1,Buyer,10,MORTGAGE,98000.0,Source Verified,2018-03-01T00:00:00.000Z,ok,false,credit_card,Credit card refinancing,064xx,CT,8.28,0.0,01-Aug-2002,0.0,,,10.0,25127.0,58.6,17.0,9018.37,,143360.0,3,2018
130666255,25000.0,25000.0,36 ,,800.01,B,B1,,,MORTGAGE,81000.0,Not Verified,2018-03-01T00:00:00.000Z,ok,false,debt_consolidation,Debt consolidation,295xx,SC,12.62,0.0,01-Oct-2007,1.0,,,8.0,2742.0,11.0,16.0,8819.76,,24955.0,3,2018
130715098,6000.0,6000.0,36 ,7.34%,186.2,A,A4,Assistant branch manager,2,RENT,80000.0,Not Verified,2018-03-01T00:00:00.000Z,ok,false,credit_card,Credit card refinancing,916xx,CA,9.11,0.0,01-Dec-2009,1.0,,,7.0,1512.0,3.6,9.0,6001.4952499999,,27696.0,3,2018
130660624,11200.0,11200.0,36 ,10.9%,366.15,B,B4,Service Delivery Manager,1,MORTGAGE,80000.0,Source Verified,2018-03-01T00:00:00.000Z,ok,false,debt_consolidation,Debt consolidation,152xx,PA,14.94,0.0,01-Oct-2011,0.0,47.0,,8.0,9323.0,63.9,13.0,12235.787018583998,47.0,22227.0,3,2018
130494244,10000.0,10000.0,60 ,14.07%,233.05,C,C3,,,MORTGAGE,45000.0,Not Verified,2018-03-01T00:00:00.000Z,ok,false,debt_consolidation,Debt consolidation,917xx,CA,16.24,0.0,01-Aug-1974,0.0,,,7.0,7646.0,85.0,15.0,2780.97,,226356.0,3,2018
130396230,10000.0,10000.0,60 ,9.92%,212.08,B,B2,,,MORTGAGE,60000.0,Not Verified,2018-03-01T00:00:00.000Z,ok,false,credit_card,Credit card refinancing,755xx,TX,19.36,0.0,01-May-1989,0.0,67.0,,8.0,10243.0,84.7,24.0,2544.54,,74843.0,3,2018
130073445,32000.0,32000.0,36 ,11.98%,1062.56,B,B5,Director of Operations,1,MORTGAGE,100000.0,Source Verified,2018-03-01T00:00:00.000Z,ok,false,debt_consolidation,Debt consolidation,380xx,TN,14.1,1.0,01-Nov-1985,0.0,13.0,,13.0,14750.0,56.3,27.0,12729.42,66.0,161734.0,3,2018
130273058,3500.0,3500.0,36 ,6.07%,106.59,A,A2,dialysis technician,1,RENT,25000.0,Not Verified,2018-03-01T00:00:00.000Z,ok,false,other,Other,100xx,NY,6.05,0.0,01-Oct-1989,0.0,,,17.0,3028.0,4.9,31.0,1277.9,,59996.0,3,2018
130162829,22000.0,22000.0,60 ,14.07%,512.71,C,C3,Paralegal,10,MORTGAGE,83400.0,Not Verified,2018-03-01T00:00:00.000Z,ok,false,home_improvement,Home improvement,282xx,NC,16.11,1.0,01-Oct-1992,1.0,23.0,,16.0,7982.0,35.3,36.0,23151.4001083827,39.0,294178.0,3,2018
